unit_code,market_segment,year,quarter,unit_market_activations,unit_activations,market_activations,market_contribution_to_product,product_share_in_market,product_name,unit_description,unit_detaileddescription,unit_l1_purpose,unit_l2_core_solution,unit_l3_products,market_segment_was_invalid,period_start,period_label,previous_period_activations,previous_product_share_in_market,previous_market_contribution_to_product,activation_growth_rate,product_share_change,market_contribution_change,rolling_4_period_activations,rolling_4_period_product_share,rolling_4_period_market_contribution,recent_2_period_avg_activations,previous_2_period_avg_activations,momentum_score,recent_growth,longer_term_growth,trend_score,periods_observed_total,total_historical_unit_market_activations,total_historical_unit_activations,total_historical_market_activations,global_latest_period,is_global_latest_period,latest_unit_market_activations,latest_unit_activations,latest_market_activations,latest_product_share_in_market,latest_market_contribution_to_product,historical_product_share_in_market,historical_market_contribution_to_product,blended_product_share_in_market,blended_market_contribution_to_product,latest_activations,historical_activations,periods_observed,support_sufficient,low_support_pair,normalized_latest_activations,normalized_total_activations,normalized_periods_observed,normalized_market_activations,support_score,confidence_level,normalized_blended_product_share_in_market,normalized_blended_market_contribution_to_product,normalized_momentum_score,normalized_trend_score,recommendation_score,market_share_p25,market_share_median,market_share_p75,product_contribution_p80,recommendation_label,include_in_primary_recommendations,review_reason
MO6012,"Arts, Media, Hotels & Entertainment",2026,2,82,782,313,0.10485933503836317,0.26198083067092653,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,179.0,0.2732824427480916,0.0843941537010844,-0.541899441340782,-0.011301612077165069,0.020465181337278773,438.0,0.22616560689544984,0.07554610378144605,130.5,88.5,1.4745762711864407,0.47457627118644075,-0.28431372549019607,0.171020272515786,10,1418,17125,7114,2026-04-01,True,82,782,313,0.26198083067092653,0.10485933503836317,0.19932527410739387,0.0828029197080292,0.24005138587369013,0.09713958967274627,82,1418,10,True,False,0.6377952755905512,0.46386333771353483,1.0,0.5314183123877917,0.6387223458952093,Medium,0.6548950021223439,0.14373300228065045,0.46193387051958884,0.4723528522867651,0.48426315492404715,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.1079011824444154,Core Recommendation,True,No review flag
MO4412,"Arts, Media, Hotels & Entertainment",2026,2,48,293,313,0.16382252559726962,0.15335463258785942,44x12 Mobile Office or Similar,44x12 Mobile Office or Similar,Medium Mobile Office - 2 offices + Med. Open Area (up to 576 SF) - MO4412 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,57.0,0.08702290076335878,0.09644670050761421,-0.1578947368421053,0.06633173182450064,0.06737582508965541,161.0,0.0917402808389113,0.09106458226079966,52.5,28.0,1.875,0.875,-0.16145833333333337,0.4604166666666667,10,479,5542,7114,2026-04-01,True,48,293,313,0.15335463258785942,0.16382252559726962,0.06733202136631994,0.0864308913749549,0.1232467186603206,0.13673545361945946,48,479,10,True,False,0.3700787401574803,0.15538764783180026,1.0,0.5314183123877917,0.43705506703502744,Medium,0.3307522279418375,0.20403838711052016,0.6096311475409837,0.6363676244381058,0.422972979033822,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.13654530775228074,Core Recommendation,True,No review flag
MO3610,"Arts, Media, Hotels & Entertainment",2026,2,31,263,313,0.11787072243346007,0.09904153354632587,36x10 Mobile Office or Similar,36x10 Mobile Office or Similar,Small Mobile Office - 1 office + Sm. Open Area (up to 360 SF) - MO3610 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,20.0,0.030534351145038167,0.04175365344467641,0.55,0.06850718240128771,0.07611706898878366,82.0,0.04979344558579419,0.05575468001351631,25.5,15.5,1.6451612903225807,0.6451612903225807,-0.359375,0.24334677419354842,10,287,4825,7114,2026-04-01,True,31,263,313,0.09904153354632587,0.11787072243346007,0.04034298566207478,0.059481865284974095,0.07849704178683799,0.09743462243148998,31,287,10,True,False,0.23622047244094488,0.09231274638633377,1.0,0.5314183123877917,0.3681284578283267,Medium,0.20656811140345643,0.14418234375928068,0.5248545742993127,0.5133437386037419,0.32799864649756594,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.11896421127287773,Emerging Opportunity,True,No review flag
30W,"Arts, Media, Hotels & Entertainment",2026,2,7,96,313,0.07291666666666667,0.022364217252396165,30' OPEN BAY OFFICE,Ground Level Office - 30' x 10',Medium Size Ground Level Office (300 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,20.0,0.030534351145038167,0.08130081300813008,-0.65,-0.008170133892642002,-0.008384146341463408,40.0,0.02183018807880606,0.05573140341152215,13.5,6.5,2.076923076923077,1.076923076923077,0.17647058823529416,0.7167420814479638,10,93,2034,7114,2026-04-01,True,7,96,313,0.022364217252396165,0.07291666666666667,0.013072814169243744,0.045722713864306784,0.01911222617329282,0.06339878318584072,7,93,10,True,False,0.047244094488188976,0.028580814717477004,1.0,0.5314183123877917,0.27968054946076226,Low,0.041770254122552225,0.09234500068529933,0.684110970996217,0.7816394915092401,0.3270202767185693,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.11106962881022621,Low Priority,False,Low confidence
MO248,"Arts, Media, Hotels & Entertainment",2026,2,6,88,313,0.06818181818181818,0.019169329073482427,24x8 Mobile Office (20x8 Box),24x8 Mobile Office (20x8 Box),"Small Mobile Office - Open Space
(up to 192 SF) - MO248 or similar",Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,24.0,0.0366412213740458,0.10256410256410256,-0.75,-0.017471892300563376,-0.034382284382284384,44.0,0.022861950298498426,0.05935951346513556,15.0,7.0,2.142857142857143,1.1428571428571428,-0.5416666666666667,0.46904761904761894,10,222,2294,7114,2026-04-01,True,6,88,313,0.019169329073482427,0.06818181818181818,0.031206072533033456,0.0967741935483871,0.023382189284325287,0.0781891495601173,6,222,10,True,False,0.03937007874015748,0.07095926412614981,1.0,0.5314183123877917,0.2917571012419867,Low,0.053619760837298185,0.11487105889117294,0.7084309133489461,0.6412591977846379,0.3206987675532069,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.12824215344376635,Low Priority,False,Low confidence
MO5012,"Arts, Media, Hotels & Entertainment",2026,2,24,81,313,0.2962962962962963,0.07667731629392971,50x12 Mobile Office or Similar,50x12 Mobile Office or Similar,Medium Mobile Office - 2 offices + Med. Open Area (up to 672 SF) - MO5012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,8.0,0.012213740458015267,0.049079754601226995,2.0,0.06446357583591444,0.2472165416950693,60.0,0.032723908611394646,0.13498399886436696,16.0,14.0,1.1428571428571428,0.1428571428571428,0.016949152542372836,0.0924939467312348,10,157,1532,7114,2026-04-01,True,24,81,313,0.07667731629392971,0.2962962962962963,0.02206915940399213,0.10248041775456919,0.057564461382451554,0.22846073880669182,24,157,10,True,False,0.18110236220472442,0.049605781865965835,1.0,0.5314183123877917,0.3338896816635208,Low,0.14847844046043016,0.34373804435981636,0.33957845433255274,0.42784822924464033,0.295467518512827,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.15432501692292816,Low Priority,False,Low confidence
20W,"Arts, Media, Hotels & Entertainment",2026,2,24,415,313,0.05783132530120482,0.07667731629392971,20' OPEN BAY OFFICE,Ground Level Office - 20' x 8',Small Ground Level Office (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,146.0,0.22290076335877862,0.12036273701566365,-0.8356164383561644,-0.1462234470648489,-0.06253141171445883,496.0,0.19920103700417524,0.11638003258471921,85.0,163.0,0.5214723926380368,-0.4785276073619632,-0.4643628509719222,-0.4728617048059468,10,1882,11726,7114,2026-04-01,True,24,415,313,0.07667731629392971,0.05783132530120482,0.2645487770593197,0.16049803854681904,0.1424323275618162,0.0937646749371698,24,1882,10,True,False,0.18110236220472442,0.6162943495400789,1.0,0.5314183123877917,0.5322306803494603,Medium,0.3839939060531483,0.1385929317881658,0.11037916121894802,0.10743415275480231,0.2609423153830066,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.10797409936522484,Declining Product,True,No review flag
MO4410,"Arts, Media, Hotels & Entertainment",2026,2,23,250,313,0.092,0.07348242811501597,44x10 Mobile Office or Similar,44x10 Mobile Office or Similar,Medium Mobile Office - 2 offices + Sm. Open Area (up to 480 SF) - MO4410 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,43.0,0.06564885496183206,0.0899581589958159,-0.4651162790697675,0.007833573153183906,0.0020418410041841,139.0,0.0695970756695106,0.08897427059781526,33.0,36.5,0.9041095890410958,-0.09589041095890416,-0.08552631578947367,-0.09174477289113196,10,430,4476,7114,2026-04-01,True,23,250,313,0.07348242811501597,0.092,0.0604441945459657,0.09606791778373548,0.06891904636584838,0.09342377122430742,23,430,10,True,False,0.1732283464566929,0.1392904073587385,1.0,0.5314183123877917,0.3625233950741802,Medium,0.17998836865074216,0.1380737278222727,0.25151583202335503,0.32343133867148854,0.2348076326261985,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.12654336014298484,Low Priority,True,No review flag
MO5010,"Arts, Media, Hotels & Entertainment",2026,2,20,97,313,0.20618556701030927,0.06389776357827476,50x10 Mobile Office or Similar,50x10 Mobile Office or Similar,Medium Mobile Office - 2 offices + Med. Open Area (up to 560 SF) - MO5010 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,22.0,0.03358778625954199,0.09282700421940929,-0.09090909090909094,0.03030997731873277,0.11335856279089998,93.0,0.04052871506596092,0.12904720085618104,21.0,25.5,0.8235294117647058,-0.17647058823529416,-0.2734375,-0.21525735294117648,10,282,1910,7114,2026-04-01,True,20,97,313,0.06389776357827476,0.20618556701030927,0.039640146190610064,0.14764397905759163,0.055407597492592116,0.18569601122685808,20,282,10,True,False,0.14960629921259844,0.09067017082785808,1.0,0.5314183123877917,0.33723859575293896,Low,0.14249296178506457,0.2786064094669125,0.2217936354869817,0.25343085461510956,0.23142831508150546,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.12706104604091326,Declining Product,False,Low confidence
40W,"Arts, Media, Hotels & Entertainment",2026,2,26,282,313,0.09219858156028368,0.08306709265175719,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,49.0,0.07480916030534351,0.06041923551171394,-0.4693877551020408,0.008257932346413671,0.031779346048569745,210.0,0.09511253060672457,0.08854613974211055,37.5,67.5,0.5555555555555556,-0.4444444444444444,-0.35779816513761464,-0.4097859327217125,10,729,7087,7114,2026-04-01,True,26,282,313,0.08306709265175719,0.09219858156028368,0.10247399493955581,0.1028643996049104,0.08985950845248669,0.09593161787590303,26,729,10,True,False,0.1968503937007874,0.23751642575558476,1.0,0.5314183123877917,0.40517021804850945,Medium,0.2380999119248258,0.1418932342642158,0.12295081967213117,0.14318220834830736,0.20665164832423966,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.09438105631427836,Declining Product,True,No review flag
