unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
10W,FSSHIELD1,Central Division,621,1,0.16,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Free-Standing Acrylic Shield,,,,,Accessories,,,VAPS - A La Carte
10W,LIABILITYWVR,Canada Division,75,15,20.00,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,LIABILITYWVR,Central Division,621,202,32.53,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,LIABILITYWVR,Northeast Division,261,100,38.31,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,LIABILITYWVR,South Division,691,253,36.61,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,LIABILITYWVR,West Division,839,256,30.51,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,PROP1AP,Canada Division,75,1,1.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,PROP1AP,Central Division,621,5,0.81,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,PROP1AP,Northeast Division,261,6,2.30,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,PROP1AP,South Division,691,6,0.87,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
