unit_code,market_segment,year,quarter,unit_market_activations,unit_activations,market_activations,market_contribution_to_product,product_share_in_market,product_name,unit_description,unit_detaileddescription,unit_l1_purpose,unit_l2_core_solution,unit_l3_products,market_segment_was_invalid,period_start,period_label,previous_period_activations,previous_product_share_in_market,previous_market_contribution_to_product,activation_growth_rate,product_share_change,market_contribution_change,rolling_4_period_activations,rolling_4_period_product_share,rolling_4_period_market_contribution,recent_2_period_avg_activations,previous_2_period_avg_activations,momentum_score,recent_growth,longer_term_growth,trend_score,periods_observed_total,total_historical_unit_market_activations,total_historical_unit_activations,total_historical_market_activations,global_latest_period,is_global_latest_period,latest_unit_market_activations,latest_unit_activations,latest_market_activations,latest_product_share_in_market,latest_market_contribution_to_product,historical_product_share_in_market,historical_market_contribution_to_product,blended_product_share_in_market,blended_market_contribution_to_product,latest_activations,historical_activations,periods_observed,support_sufficient,low_support_pair,normalized_latest_activations,normalized_total_activations,normalized_periods_observed,normalized_market_activations,support_score,confidence_level,normalized_blended_product_share_in_market,normalized_blended_market_contribution_to_product,normalized_momentum_score,normalized_trend_score,recommendation_score,market_share_p25,market_share_median,market_share_p75,product_contribution_p80,recommendation_label,include_in_primary_recommendations,review_reason
MO6012,Manufacturing,2026,2,72,782,184,0.09207161125319693,0.391304347826087,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,207.0,0.35506003430531735,0.09759547383309759,-0.6521739130434783,0.03624431352076962,-0.00552386257990066,505.0,0.32616178995410483,0.08429310896479598,139.5,113.0,1.2345132743362832,0.23451327433628322,-0.24851190476190477,0.04130320269700802,10,1472,17125,4681,2026-04-01,True,72,782,184,0.391304347826087,0.09207161125319693,0.31446272164067507,0.08595620437956204,0.36440977866119284,0.08993121884742472,72,1472,10,True,False,0.5590551181102362,0.4816031537450723,1.0,0.2998204667863555,0.5942124418279935,Medium,1.0,0.132754492575636,0.37338604381256346,0.3988359872515562,0.5501853716395724,0.019364649415305166,0.03002833494329528,0.06606042988306103,0.1079011824444154,Core Recommendation,True,No review flag
MO6012,Non-Residential & GCs,2026,2,128,782,450,0.1636828644501279,0.28444444444444444,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,390.0,0.35977859778597787,0.18387553041018387,-0.6717948717948719,-0.07533415334153343,-0.020192665960055978,1102.0,0.30850452569226694,0.18258476680501418,259.0,292.0,0.886986301369863,-0.113013698630137,-0.0885028949545078,-0.10320937715988532,10,3050,17125,10570,2026-04-01,True,128,782,450,0.28444444444444444,0.1636828644501279,0.28855250709555347,0.1781021897810219,0.2858822663723326,0.1687296283159408,128,3050,10,True,False,1.0,1.0,1.0,0.77737881508079,0.9777378815080789,High,0.7820795496441304,0.2527662294927937,0.24519986525937573,0.3169337993277035,0.5284178359690404,0.02049595290654893,0.031248712288447385,0.07531125827814569,0.1079011824444154,Declining Product,True,No review flag
20W,Professional Services,2026,2,111,415,574,0.2674698795180723,0.19337979094076654,20' OPEN BAY OFFICE,Ground Level Office - 20' x 8',Small Ground Level Office (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,355.0,0.21712538226299694,0.29266281945589445,-0.6873239436619718,-0.02374559132223039,-0.02519293993782218,834.0,0.18481151959271544,0.23349014583095157,233.0,184.0,1.266304347826087,0.2663043478260869,-0.3191836734693878,0.03210913930789702,10,2721,11726,12991,2026-04-01,True,111,415,574,0.19337979094076654,0.2674698795180723,0.20945269802170732,0.23204843936551253,0.1990053084190958,0.25507237546467637,111,2721,10,True,False,0.8661417322834646,0.8919185282522996,1.0,1.0,0.9153210911875173,High,0.5409886854247756,0.38426816113595613,0.3851122594440485,0.39362527197524966,0.5125146442178486,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.10797409936522484,Core Recommendation,True,No review flag
MO6012,"Arts, Media, Hotels & Entertainment",2026,2,82,782,313,0.10485933503836317,0.26198083067092653,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,179.0,0.2732824427480916,0.0843941537010844,-0.541899441340782,-0.011301612077165069,0.020465181337278773,438.0,0.22616560689544984,0.07554610378144605,130.5,88.5,1.4745762711864407,0.47457627118644075,-0.28431372549019607,0.171020272515786,10,1418,17125,7114,2026-04-01,True,82,782,313,0.26198083067092653,0.10485933503836317,0.19932527410739387,0.0828029197080292,0.24005138587369013,0.09713958967274627,82,1418,10,True,False,0.6377952755905512,0.46386333771353483,1.0,0.5314183123877917,0.6387223458952093,Medium,0.6548950021223439,0.14373300228065045,0.46193387051958884,0.4723528522867651,0.48426315492404715,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.1079011824444154,Core Recommendation,True,No review flag
MO6012,Highway & Heavy Construction,2026,2,54,782,153,0.06905370843989769,0.35294117647058826,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,92.0,0.30666666666666664,0.04337576614804337,-0.4130434782608695,0.046274509803921615,0.02567794229185432,278.0,0.2887641375866815,0.050049861350476774,73.0,66.0,1.106060606060606,0.10606060606060597,-0.060810810810810856,0.039312039312039235,10,739,17125,2878,2026-04-01,True,54,782,153,0.35294117647058826,0.06905370843989769,0.2567755385684503,0.04315328467153284,0.31928320320484,0.059988560120969994,54,739,10,True,False,0.41732283464566927,0.24080157687253614,1.0,0.24416517055655296,0.45476006108702716,Medium,0.8747699581989486,0.08715115481898636,0.3260059612518629,0.3977074997669074,0.4729325448019446,0.02450705032997679,0.031282901161391125,0.07651677476642729,0.1079011824444154,Core Recommendation,True,No review flag
MO6012,Mining & Utilities,2026,2,32,782,145,0.04092071611253197,0.2206896551724138,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,280.0,0.45528455284552843,0.132013201320132,-0.8857142857142857,-0.23459489767311464,-0.09109248520760002,560.0,0.33051653704713474,0.08417618825450153,156.0,124.0,1.2580645161290323,0.25806451612903225,-0.25531914893617025,0.052711050102951226,10,1954,17125,4922,2026-04-01,True,32,782,145,0.2206896551724138,0.04092071611253197,0.39699309223892726,0.11410218978102189,0.28239585814569346,0.06653423189650344,32,1954,10,True,False,0.2440944881889764,0.6399474375821288,1.0,0.22980251346499103,0.5323949253663859,Medium,0.7724044736264556,0.09712035907539021,0.3820729772607087,0.40530135976773046,0.4682144521252739,0.02192877860135353,0.03208609480306576,0.07531785509114601,0.1079011824444154,Core Recommendation,True,No review flag
MO6012,Professional Services,2026,2,128,782,574,0.1636828644501279,0.2229965156794425,60x12 Mobile Office or Similar,60x12 Mobile Office or Similar,Large Mobile Office - 2 offices + Lg. Open Area (up to 720 SF) - MO6012 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,317.0,0.19388379204892967,0.14945780292314945,-0.5962145110410095,0.029112723630512843,0.014225061526978444,1019.0,0.23227347439170581,0.1713988842792722,222.5,287.0,0.7752613240418118,-0.2247386759581882,0.024120603015075348,-0.12519496436888278,10,2624,17125,12991,2026-04-01,True,128,782,574,0.2229965156794425,0.1636828644501279,0.2019859903009776,0.15322627737226277,0.2156428317969798,0.1600230589728751,128,2624,10,True,False,1.0,0.8600525624178712,1.0,1.0,0.9510183968462548,High,0.5871592119273593,0.23950592999565123,0.20398983263837323,0.30447351596004985,0.4531707030259584,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.1079011824444154,Declining Product,True,No review flag
40W,Professional Services,2026,2,59,282,574,0.20921985815602837,0.10278745644599303,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,266.0,0.16269113149847095,0.3279901356350185,-0.7781954887218046,-0.059903675052477914,-0.11877027747899013,535.0,0.11341798833523425,0.21996836375375067,162.5,105.0,1.5476190476190477,0.5476190476190477,0.07214428857715438,0.3574291440022903,10,1416,7087,12991,2026-04-01,True,59,282,574,0.10278745644599303,0.20921985815602837,0.10899853744900316,0.19980245519966136,0.10496133479704657,0.20592376712129992,59,1416,10,True,False,0.4566929133858268,0.4632063074901445,1.0,1.0,0.6219647273065899,Medium,0.28000875001582287,0.3094137333101454,0.4888758782201406,0.577999671672868,0.42365520715772276,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.09438105631427836,Core Recommendation,True,No review flag
MO4412,"Arts, Media, Hotels & Entertainment",2026,2,48,293,313,0.16382252559726962,0.15335463258785942,44x12 Mobile Office or Similar,44x12 Mobile Office or Similar,Medium Mobile Office - 2 offices + Med. Open Area (up to 576 SF) - MO4412 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,57.0,0.08702290076335878,0.09644670050761421,-0.1578947368421053,0.06633173182450064,0.06737582508965541,161.0,0.0917402808389113,0.09106458226079966,52.5,28.0,1.875,0.875,-0.16145833333333337,0.4604166666666667,10,479,5542,7114,2026-04-01,True,48,293,313,0.15335463258785942,0.16382252559726962,0.06733202136631994,0.0864308913749549,0.1232467186603206,0.13673545361945946,48,479,10,True,False,0.3700787401574803,0.15538764783180026,1.0,0.5314183123877917,0.43705506703502744,Medium,0.3307522279418375,0.20403838711052016,0.6096311475409837,0.6363676244381058,0.422972979033822,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.13654530775228074,Core Recommendation,True,No review flag
10W,Professional Services,2026,2,46,138,574,0.3333333333333333,0.08013937282229965,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,90.0,0.05504587155963303,0.31690140845070425,-0.48888888888888893,0.025093501262666615,0.016431924882629068,215.0,0.05159566983268875,0.2411049409526173,68.0,39.5,1.7215189873417722,0.7215189873417722,-0.06521739130434778,0.40682443588332423,10,592,2554,12991,2026-04-01,True,46,138,574,0.08013937282229965,0.3333333333333333,0.045570010006927876,0.2317932654659358,0.06804009583691953,0.2977943095797442,46,592,10,True,False,0.3543307086614173,0.19250985545335086,1.0,1.0,0.4913941974401689,Medium,0.17754920701780863,0.44933462062659096,0.5530192986096701,0.6059943450929968,0.4183438273325697,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.0946909082655227,Core Recommendation,True,No review flag
